key,image,base_ground_unique,target_ground_unique,preserved_ground_unique,disappeared_ground_unique,added_ground_unique,base_hall_unique,target_hall_unique,removed_hall_unique,retained_hall_unique,added_hall_unique,ground_disappeared_words,ground_added_words,hall_removed_words,hall_added_words,base_caption,target_caption
101636,COCO_val2014_000000101636.jpg,4,3,3,1,0,0,0,0,0,0,umbrella,,,,"The image features a black car with a bicycle rack on top, parked on a street. The car is surrounded by a crowd of people, some of whom are holding umbrellas, indicating that it might be raining. There are at least 13 people visible in the scene, with some standing closer to the car and others further away.

In addition to the car and people, there are two bicycles in the scene. One bicycle is located near the left side of the car, while the other is positioned closer to the center of the image. The presence of the b","The image features a black car with a bicycle rack on top of it, parked on a street. The car is parked in front of a crowd of people, who are gathered around the car and the bicycles. There are several people standing around the car, some closer to the car and others further away.

In addition to the car and bicycles, there are multiple bicycles scattered throughout the scene. Some bicycles are parked near the car, while others are placed in various locations around the crowd. The people in the scene are engaged in conversations and observing the car"
102671,COCO_val2014_000000102671.jpg,2,2,2,0,0,0,0,0,0,0,,,,,"The image features a white plate with two chocolate-covered donuts on it. The donuts are placed side by side, and each one has sprinkles on top. The plate is placed on a dining table, and a napkin is also visible on the table, covering a portion of the table's surface. The scene creates an inviting and appetizing atmosphere, showcasing the delicious treats.","The image features a white plate with two chocolate-covered donuts on a dining table. The donuts are placed on the plate, one on the left side and the other on the right side of the plate. The donuts are topped with chocolate frosting and sprinkles, making them visually appealing and delicious-looking. The plate is placed on a dining table, and a napkin is placed on the table next to the plate."
103255,COCO_val2014_000000103255.jpg,3,4,3,0,1,1,0,1,0,0,,car,handbag,,"The image features a train station with a train parked on the tracks. The train is predominantly red and white, and it appears to be a passenger train. The train is positioned near a platform, and there are traffic lights visible in the scene.

There are several people in the image, with some standing near the train and others scattered around the platform. A handbag can be seen on the platform, likely belonging to one of the passengers. The overall atmosphere of the scene suggests a busy train station with people waiting for their train or just arriving at the station.","The image features a train station with a train stopped at the station. The train is a long, red and white train with a blue and blue train car attached to it. The train is positioned on the tracks, waiting for passengers to board or disembark.

There are multiple traffic lights in the scene, with one located near the train and others scattered around the station. A person can be seen standing near the train, possibly waiting for the train to depart or preparing to board the train."
10449,COCO_val2014_000000010449.jpg,1,1,1,0,0,0,0,0,0,0,,,,,"The image features a group of elephants walking through a river, with some of them standing in the water. There are three elephants in total, with one on the left side, another in the middle, and the third on the right side of the river. The elephants appear to be enjoying their time in the water, possibly cooling off or searching for food.

The river is surrounded by a lush green landscape, with trees and rocks visible in the background. The scene captures the beauty of nature and the majestic presence of these gentle giants.","The image features a group of elephants walking through a river, with three elephants prominently visible in the scene. They are walking across the river, possibly searching for food or water. The elephants are spread out, with one elephant on the left side of the river, another in the middle, and the third elephant on the right side of the river.

The river is surrounded by a lush green landscape, with trees and rocks surrounding the riverbank. The elephants appear to be enjoying their time in the river, possibly cooling off or exploring the area."
105220,COCO_val2014_000000105220.jpg,2,2,2,0,0,0,0,0,0,0,,,,,"The image captures a group of people skiing on a snow-covered slope, with a red tunnel-like structure in the background. There are three main skiers in the scene, with one person in the center and two others on the right side. They are all wearing skis and appear to be enjoying their time on the snow.

In addition to the main skiers, there are two more people in the background, one on the left side and another on the right side of the scene. A pair of skis can be seen lying on the snow, possibly belonging to one of the skiers who","The image captures a group of people skiing on a snow-covered slope, with a red tunnel or tunnel-like structure in the background. There are three people in the scene, with one person skiing in the foreground, another in the middle, and the third person further back. The skiers are wearing skis and appear to be enjoying their skiing experience.

The skiers are also holding ski poles, with one person holding a ski pole in the foreground, another in the middle, and the third person holding a ski pole in the background. The skiers are skiing in"
105552,COCO_val2014_000000105552.jpg,2,3,2,0,1,0,0,0,0,0,,truck,,,"The image features a large white airplane parked on the tarmac at an airport. The airplane is positioned in the middle of the scene, with a staircase leading up to its door. Another smaller airplane can be seen in the background, closer to the right side of the image.

There are several people scattered around the airplane, likely preparing for boarding or disembarking. Some of them are standing near the staircase, while others are positioned closer to the airplane's door. The scene captures the busy atmosphere of an airport as passengers and staff","The image features a large airplane parked on the runway at an airport. The airplane is a white and red commercial airplane, and it appears to be a Jet2 airplane. The airplane is parked on the runway, and there is a staircase attached to the side of the airplane, allowing passengers to board or disembark.

In addition to the airplane, there are several vehicles around the airplane, including a truck and a truck-like vehicle parked near the airplane. There are also two trucks parked near the airplane, one"
10580,COCO_val2014_000000010580.jpg,1,1,1,0,0,0,0,0,0,0,,,,,"The image features a group of three giraffes standing together in a grassy field. They are positioned close to each other, with one giraffe on the left, another in the middle, and the third on the right side of the scene. The giraffes appear to be looking in the same direction, possibly observing something in the distance.

The field is surrounded by trees, providing a natural and serene environment for the giraffes. The scene captures the beauty and grace of these majestic animals as they stand together in their natural habitat.","The image features a group of three giraffes standing together in a grassy field. They are positioned close to each other, with one giraffe on the left, another in the middle, and the third on the right. The giraffes are facing the same direction, possibly looking at something in the distance.

The giraffes are surrounded by a lush green field, which provides a natural habitat for them. The giraffes' long necks and legs are clearly visible, showcasing their unique features."
109005,COCO_val2014_000000109005.jpg,1,1,1,0,0,0,0,0,0,0,,,,,"The image features a grassy field with two elephants walking through it. One elephant is larger and positioned towards the center of the field, while the other is smaller and located closer to the left side. Both elephants are walking in the same direction, with the larger one slightly ahead of the smaller one.

In addition to the elephants, there are two rhinos in the scene. One rhino is located on the left side of the field, while the other is on the right side. The presence of these animals creates a diverse and lively atmosphere in the field.","The image features a grassy field with two elephants walking through it. One elephant is larger and positioned towards the center of the field, while the other elephant is smaller and located towards the left side of the field. The elephants are walking in opposite directions, with the larger elephant walking towards the right and the smaller elephant walking towards the left.

In addition to the elephants, there are two rhinos in the scene. One rhino is located on the left side of the field, while the other rhino is on the right side. The rhinos are"
109045,COCO_val2014_000000109045.jpg,1,1,1,0,0,1,0,1,0,0,,,person,,"The image features a white airplane parked on a runway, with its nose pointing towards the camera. The airplane is a small propeller plane, and it appears to be a private aircraft. The plane is surrounded by a few other airplanes, with one located to the left and another to the right.

There are two people visible in the scene, one standing closer to the left side of the image and the other near the center. They seem to be observing the airplane or possibly attending to it.","The image features a white airplane parked on a runway, with its nose pointing towards the camera. The airplane is a small propeller plane, and it appears to be a single-engine plane. The airplane is parked on the runway, and there is a building in the background.

There are several other airplanes in the scene, with one airplane located behind the main airplane and two other airplanes positioned further back. The presence of multiple airplanes suggests that this location might be a small airport or an airport with limited facilities."
10928,COCO_val2014_000000010928.jpg,1,1,1,0,0,1,1,0,1,0,,,,,"The image features a street corner with a traffic light and two street signs. The street signs are positioned above the traffic light, providing directions for drivers and pedestrians. The traffic light is located on the left side of the scene, while the street signs are on the right side.

In the background, there are several windows on the buildings, indicating that the scene takes place in a city. The presence of the traffic light and street signs suggests that this is an urban area with a well-organized transportation system.","The image features a street corner with a street sign for Madison Avenue and East 42nd Street. The street sign is positioned on a pole, and the street sign for East 42nd Street is located below it. The street signs are placed on a pole, and the street sign for Madison Avenue is positioned above the East 42nd Street sign.

The street corner is located in a city, with a building visible in the background. The street corner is also equipped with a traffic light, ensuring the safety of pedestrians and drivers in the area."
